go_id	gene_id
GO:0000003	Os02g0242600
GO:0000003	Os02g0268100
GO:0000003	Os02g0281000
GO:0000003	Os02g0453600
GO:0000003	Os03g0427300
GO:0000003	Os08g0137100
GO:0000003	Os08g0137250
GO:0000023	Os02g0729400
GO:0000023	Os04g0459900
GO:0000023	Os07g0495000
GO:0000023	Os08g0379300
GO:0000023	Os10g0493600
GO:0000023	Os11g0216900
GO:0000027	Os01g0348700
GO:0000027	Os01g0815800
GO:0000027	Os01g0896800
GO:0000027	Os04g0473400
GO:0000027	Os04g0598200
GO:0000027	Os05g0207300
GO:0000027	Os11g0105400
GO:0000027	Os11g0168200
GO:0000028	Os01g0100700
GO:0000028	Os01g0962600
GO:0000028	Os03g0109500
GO:0000028	Os03g0182600
GO:0000028	Os04g0346100
GO:0000028	Os07g0616600
GO:0000028	Os10g0411800
GO:0000038	Os02g0125300
GO:0000038	Os03g0181500
GO:0000041	Os01g0854800
GO:0000045	Os01g0934000
GO:0000045	Os02g0791800
GO:0000045	Os04g0624000
GO:0000045	Os05g0169200
GO:0000045	Os06g0205000
GO:0000045	Os06g0267600
GO:0000050	Os12g0235800
GO:0000053	Os12g0235800
GO:0000054	Os07g0639800
GO:0000055	Os04g0630000
GO:0000070	Os01g0605500
GO:0000076	Os02g0135300
GO:0000076	Os03g0345100
GO:0000077	Os01g0106700
GO:0000077	Os03g0242100
GO:0000077	Os03g0710800
GO:0000077	Os04g0528400
GO:0000077	Os06g0132600
GO:0000077	Os06g0267500
GO:0000077	Os06g0613400
GO:0000079	Os01g0233100
GO:0000079	Os01g0233500
GO:0000079	Os01g0281200
GO:0000079	Os01g0377500
GO:0000079	Os01g0805600
GO:0000079	Os02g0125400
GO:0000079	Os02g0133000
GO:0000079	Os02g0438200
GO:0000079	Os02g0604600
GO:0000079	Os02g0604700
GO:0000079	Os02g0604800
GO:0000079	Os02g0605000
GO:0000079	Os02g0607000
GO:0000079	Os02g0607100
GO:0000079	Os02g0607400
GO:0000079	Os02g0607433
GO:0000079	Os02g0627800
GO:0000079	Os02g0652000
GO:0000079	Os03g0208800
GO:0000079	Os03g0225200
GO:0000079	Os03g0607600
GO:0000079	Os03g0737600
GO:0000079	Os04g0544200
GO:0000079	Os04g0552300
GO:0000079	Os04g0563700
GO:0000079	Os04g0628900
GO:0000079	Os05g0237100
GO:0000079	Os05g0325200
GO:0000079	Os05g0326400
GO:0000079	Os05g0398000
GO:0000079	Os05g0493500
GO:0000079	Os06g0171700
GO:0000079	Os06g0726800
GO:0000079	Os07g0231500
GO:0000079	Os07g0620800
GO:0000079	Os08g0421100
GO:0000079	Os08g0479300
GO:0000079	Os09g0382300
GO:0000079	Os09g0466100
GO:0000079	Os09g0504400
GO:0000079	Os10g0563900
GO:0000079	Os11g0157100
GO:0000079	Os11g0473100
GO:0000079	Os12g0298950
GO:0000079	Os12g0485400
GO:0000079	Os12g0502300
GO:0000079	Os12g0581800
GO:0000096	Os03g0242900
GO:0000096	Os04g0379700
GO:0000096	Os05g0133100
GO:0000096	Os06g0658900
GO:0000103	Os01g0874900
GO:0000103	Os01g0916400
GO:0000103	Os03g0202001
GO:0000103	Os03g0743900
GO:0000103	Os04g0111200
GO:0000103	Os05g0503300
GO:0000103	Os07g0509800
GO:0000103	Os07g0573100
GO:0000103	Os11g0634800
GO:0000103	Os12g0625000
GO:0000105	Os01g0232700
GO:0000105	Os01g0276500
GO:0000105	Os02g0709200
GO:0000105	Os03g0134300
GO:0000105	Os03g0256400
GO:0000105	Os04g0617800
GO:0000105	Os05g0400800
GO:0000122	Os09g0473300
GO:0000122	Os09g0473350
GO:0000154	Os01g0160800
GO:0000154	Os02g0122900
GO:0000154	Os06g0490000
GO:0000154	Os07g0509600
GO:0000154	Os10g0183900
GO:0000160	Os01g0743800
GO:0000160	Os01g0904700
GO:0000160	Os01g0923700
GO:0000160	Os01g0952500
GO:0000160	Os02g0182100
GO:0000160	Os02g0557800
GO:0000160	Os02g0618200
GO:0000160	Os02g0631700
GO:0000160	Os02g0738400
GO:0000160	Os02g0796500
GO:0000160	Os02g0820900
GO:0000160	Os02g0830200
GO:0000160	Os03g0224200
GO:0000160	Os03g0284100
GO:0000160	Os03g0717700
GO:0000160	Os03g0742300
GO:0000160	Os04g0169100
GO:0000160	Os04g0212450
GO:0000160	Os04g0304200
GO:0000160	Os04g0348600
GO:0000160	Os04g0348800
GO:0000160	Os04g0442300
GO:0000160	Os04g0524300
GO:0000160	Os04g0673300
GO:0000160	Os05g0186100
GO:0000160	Os05g0395600
GO:0000160	Os05g0521300
GO:0000160	Os06g0183100
GO:0000160	Os06g0183200
GO:0000160	Os06g0647200
GO:0000160	Os06g0654300
GO:0000160	Os07g0259100
GO:0000160	Os07g0449700
GO:0000160	Os07g0695100
GO:0000160	Os08g0358800
GO:0000160	Os08g0376700
GO:0000160	Os08g0377200
GO:0000160	Os08g0458600
GO:0000160	Os08g0557700
GO:0000160	Os09g0532400
GO:0000160	Os09g0567400
GO:0000160	Os10g0362300
GO:0000160	Os10g0463400
GO:0000160	Os11g0102200
GO:0000160	Os11g0143300
GO:0000160	Os11g0157600
GO:0000160	Os12g0101800
