go_id	gene_id
GO:0000015	Os03g0248600
GO:0000015	Os03g0266200
GO:0000015	Os06g0136600
GO:0000015	Os09g0375000
GO:0000015	Os10g0167300
GO:0000110	Os03g0100400
GO:0000111	Os08g0427500
GO:0000118	Os04g0166600
GO:0000118	Os04g0409600
GO:0000123	Os07g0626600
GO:0000123	Os09g0347800
GO:0000123	Os10g0415900
GO:0000127	Os01g0528000
GO:0000127	Os02g0633100
GO:0000137	Os04g0636100
GO:0000139	Os01g0171100
GO:0000139	Os01g0315800
GO:0000139	Os01g0675500
GO:0000139	Os01g0727100
GO:0000139	Os01g0766900
GO:0000139	Os01g0898900
GO:0000139	Os01g0926700
GO:0000139	Os02g0126800
GO:0000139	Os02g0192500
GO:0000139	Os02g0498700
GO:0000139	Os02g0573300
GO:0000139	Os02g0604300
GO:0000139	Os02g0725300
GO:0000139	Os02g0744600
GO:0000139	Os02g0745400
GO:0000139	Os02g0832800
GO:0000139	Os03g0162000
GO:0000139	Os03g0167500
GO:0000139	Os03g0169500
GO:0000139	Os03g0211800
GO:0000139	Os03g0330000
GO:0000139	Os03g0377700
GO:0000139	Os03g0413400
GO:0000139	Os03g0635100
GO:0000139	Os03g0770800
GO:0000139	Os04g0103100
GO:0000139	Os04g0429500
GO:0000139	Os04g0429600
GO:0000139	Os04g0490600
GO:0000139	Os04g0636100
GO:0000139	Os04g0650300
GO:0000139	Os04g0650366
GO:0000139	Os05g0123100
GO:0000139	Os05g0299200
GO:0000139	Os05g0310800
GO:0000139	Os05g0311000
GO:0000139	Os05g0510800
GO:0000139	Os05g0559600
GO:0000139	Os06g0111800
GO:0000139	Os06g0227250
GO:0000139	Os06g0230100
GO:0000139	Os06g0523400
GO:0000139	Os06g0625700
GO:0000139	Os06g0687900
GO:0000139	Os06g0712500
GO:0000139	Os06g0727300
GO:0000139	Os07g0124750
GO:0000139	Os07g0551600
GO:0000139	Os07g0551700
GO:0000139	Os07g0552800
GO:0000139	Os07g0553000
GO:0000139	Os07g0553300
GO:0000139	Os07g0553400
GO:0000139	Os07g0573700
GO:0000139	Os07g0630900
GO:0000139	Os07g0681700
GO:0000139	Os07g0694400
GO:0000139	Os08g0160500
GO:0000139	Os08g0253800
GO:0000139	Os08g0327100
GO:0000139	Os08g0345500
GO:0000139	Os08g0440000
GO:0000139	Os09g0416700
GO:0000139	Os09g0428000
GO:0000139	Os09g0478100
GO:0000139	Os09g0531701
GO:0000139	Os09g0531800
GO:0000139	Os09g0531900
GO:0000139	Os10g0180000
GO:0000139	Os10g0205300
GO:0000139	Os10g0341700
GO:0000139	Os10g0343400
GO:0000139	Os10g0363100
GO:0000139	Os10g0406400
GO:0000139	Os11g0124900
GO:0000139	Os11g0592300
GO:0000139	Os12g0538900
GO:0000139	Os12g0555600
GO:0000139	Os12g0578500
GO:0000145	Os01g0351300
GO:0000145	Os01g0383100
GO:0000145	Os01g0763750
GO:0000145	Os01g0768032
GO:0000145	Os01g0827500
GO:0000145	Os01g0827600
GO:0000145	Os01g0905200
GO:0000145	Os01g0905300
GO:0000145	Os01g0921400
GO:0000145	Os02g0149700
GO:0000145	Os02g0505400
GO:0000145	Os02g0575900
GO:0000145	Os03g0163500
GO:0000145	Os03g0448200
GO:0000145	Os03g0625700
GO:0000145	Os04g0111500
GO:0000145	Os04g0382200
GO:0000145	Os04g0421900
GO:0000145	Os04g0431700
GO:0000145	Os04g0685500
GO:0000145	Os04g0685600
GO:0000145	Os05g0369100
GO:0000145	Os05g0369300
GO:0000145	Os05g0369500
GO:0000145	Os05g0369700
GO:0000145	Os05g0369900
GO:0000145	Os05g0473500
GO:0000145	Os06g0183600
GO:0000145	Os06g0255900
GO:0000145	Os06g0698600
GO:0000145	Os07g0210000
GO:0000145	Os07g0210100
GO:0000145	Os07g0210300
GO:0000145	Os07g0210675
GO:0000145	Os07g0210900
GO:0000145	Os07g0211000
GO:0000145	Os08g0229601
GO:0000145	Os08g0232700
GO:0000145	Os08g0318500
GO:0000145	Os08g0455700
GO:0000145	Os08g0519900
GO:0000145	Os08g0530300
GO:0000145	Os09g0347300
GO:0000145	Os09g0439600
GO:0000145	Os10g0415200
GO:0000145	Os11g0100800
GO:0000145	Os11g0157400
GO:0000145	Os11g0167600
GO:0000145	Os11g0276000
GO:0000145	Os11g0572200
GO:0000145	Os11g0649900
GO:0000145	Os11g0650100
GO:0000145	Os11g0650700
GO:0000145	Os12g0100700
GO:0000145	Os12g0159700
GO:0000145	Os12g0165600
GO:0000148	Os01g0533000
GO:0000148	Os01g0533100
GO:0000148	Os01g0533500
GO:0000148	Os01g0672500
GO:0000148	Os01g0754200
GO:0000148	Os02g0832400
GO:0000148	Os02g0832500
GO:0000148	Os03g0119500
GO:0000148	Os03g0128100
GO:0000148	Os03g0128200
GO:0000148	Os06g0112800
GO:0000148	Os06g0113150
GO:0000148	Os06g0182300
GO:0000148	Os06g0728800
GO:0000148	Os06g0728902
GO:0000151	Os01g0229700
GO:0000151	Os01g0823900
GO:0000151	Os01g0865700
GO:0000151	Os01g0884400
GO:0000151	Os01g0901000
GO:0000151	Os02g0182900
GO:0000151	Os02g0215650
GO:0000151	Os02g0218600
GO:0000151	Os02g0234300
GO:0000151	Os02g0488600
GO:0000151	Os02g0490000
GO:0000151	Os02g0539200
GO:0000151	Os02g0540700
GO:0000151	Os02g0548700
GO:0000151	Os02g0665500
GO:0000151	Os02g0665800
GO:0000151	Os02g0690600
GO:0000151	Os02g0705600
GO:0000151	Os02g0727300
GO:0000151	Os02g0732200
GO:0000151	Os02g0738200
GO:0000151	Os02g0822900
GO:0000151	Os03g0101200
GO:0000151	Os03g0201100
GO:0000151	Os03g0232600
GO:0000151	Os03g0275900
GO:0000151	Os03g0423700
GO:0000151	Os03g0424200
GO:0000151	Os03g0427900
GO:0000151	Os03g0657100
GO:0000151	Os04g0348400
GO:0000151	Os04g0373200
GO:0000151	Os04g0418500
GO:0000151	Os04g0437300
GO:0000151	Os04g0489800
GO:0000151	Os04g0584500
GO:0000151	Os04g0589700
GO:0000151	Os04g0686000
GO:0000151	Os05g0104900
GO:0000151	Os05g0439400
GO:0000151	Os05g0476700
GO:0000151	Os06g0102700
GO:0000151	Os06g0140800
GO:0000151	Os06g0159400
GO:0000151	Os06g0159600
GO:0000151	Os06g0159900
GO:0000151	Os06g0163000
GO:0000151	Os06g0238000
GO:0000151	Os06g0238200
GO:0000151	Os06g0248500
GO:0000151	Os06g0275700
GO:0000151	Os06g0480000
GO:0000151	Os06g0574200
GO:0000151	Os06g0726900
GO:0000151	Os08g0110500
GO:0000151	Os08g0113300
GO:0000151	Os08g0139400
GO:0000151	Os08g0235400
GO:0000151	Os08g0415600
GO:0000151	Os08g0421850
GO:0000151	Os08g0481200
GO:0000151	Os09g0378700
GO:0000151	Os09g0386200
GO:0000151	Os09g0419500
GO:0000151	Os09g0569800
GO:0000151	Os09g0570000
GO:0000151	Os10g0100500
GO:0000151	Os10g0466300
GO:0000151	Os10g0548300
GO:0000151	Os10g0548700
GO:0000151	Os10g0548850
GO:0000151	Os10g0552400
GO:0000151	Os10g0561500
GO:0000151	Os12g0161100
GO:0000151	Os12g0277000
GO:0000151	Os12g0277400
GO:0000151	Os12g0570000
GO:0000159	Os01g0178400
GO:0000159	Os01g0600200
GO:0000159	Os02g0224200
GO:0000159	Os02g0617600
GO:0000159	Os03g0681800
GO:0000159	Os03g0844500
GO:0000159	Os04g0485100
GO:0000159	Os05g0178400
GO:0000159	Os05g0555100
GO:0000159	Os06g0563300
GO:0000159	Os07g0274800
GO:0000159	Os08g0122000
GO:0000159	Os09g0542700
GO:0000172	Os05g0472300
GO:0000172	Os07g0677200
GO:0000176	Os02g0550700
GO:0000177	Os02g0550700
GO:0000220	Os01g0610100
GO:0000221	Os02g0160250
GO:0000221	Os05g0593100
GO:0000221	Os07g0549700
GO:0000228	Os01g0897800
