go_id	gene_id
GO:0000014	Os03g0100400
GO:0000014	Os06g0613400
GO:0000014	Os08g0177600
GO:0000036	Os03g0352800
GO:0000036	Os03g0856300
GO:0000036	Os05g0377000
GO:0000036	Os06g0111600
GO:0000036	Os07g0222800
GO:0000036	Os08g0549300
GO:0000036	Os09g0539800
GO:0000036	Os11g0521500
GO:0000036	Os12g0534200
GO:0000049	Os01g0598900
GO:0000049	Os01g0821800
GO:0000049	Os02g0121000
GO:0000049	Os02g0762300
GO:0000049	Os04g0303900
GO:0000049	Os04g0492600
GO:0000049	Os05g0558900
GO:0000049	Os06g0508700
GO:0000049	Os07g0563700
GO:0000049	Os07g0613300
GO:0000049	Os10g0400800
GO:0000049	Os11g0610900
GO:0000049	Os12g0533700
GO:0000049	Os12g0588900
GO:0000062	Os03g0243600
GO:0000062	Os03g0576600
GO:0000062	Os03g0835600
GO:0000062	Os04g0681900
GO:0000062	Os06g0115300
GO:0000062	Os08g0162800
GO:0000095	Os12g0103000
GO:0000104	Os01g0935900
GO:0000104	Os02g0121800
GO:0000104	Os04g0418000
GO:0000104	Os07g0134800
GO:0000104	Os08g0112800
GO:0000104	Os08g0120000
GO:0000104	Os09g0382500
GO:0000107	Os03g0256400
GO:0000146	Os03g0686300
GO:0000146	Os06g0488200
GO:0000146	Os10g0339400
GO:0000149	Os01g0694900
GO:0000149	Os01g0881100
GO:0000149	Os02g0175700
GO:0000149	Os02g0209900
GO:0000149	Os02g0803300
GO:0000149	Os02g0803600
GO:0000149	Os03g0275500
GO:0000149	Os03g0787000
GO:0000149	Os03g0803000
GO:0000149	Os05g0112101
GO:0000149	Os05g0426100
GO:0000149	Os05g0549000
GO:0000149	Os05g0553700
GO:0000149	Os06g0168500
GO:0000149	Os06g0174400
GO:0000149	Os06g0175500
GO:0000149	Os06g0590500
GO:0000149	Os06g0661400
GO:0000149	Os06g0699800
GO:0000149	Os07g0164300
GO:0000149	Os07g0194000
GO:0000149	Os07g0249200
GO:0000149	Os08g0467300
GO:0000149	Os08g0558600
GO:0000149	Os09g0472400
GO:0000149	Os10g0154000
GO:0000149	Os11g0244600
GO:0000150	Os01g0901200
GO:0000150	Os03g0639700
GO:0000150	Os11g0302700
GO:0000150	Os11g0615800
GO:0000150	Os12g0497300
GO:0000155	Os01g0923700
GO:0000155	Os02g0738400
GO:0000155	Os02g0820900
GO:0000155	Os03g0309200
GO:0000155	Os03g0370000
GO:0000155	Os03g0701700
GO:0000155	Os03g0717700
GO:0000155	Os03g0719800
GO:0000155	Os03g0752100
GO:0000155	Os04g0169100
GO:0000155	Os04g0304200
GO:0000155	Os05g0155200
GO:0000155	Os06g0183200
GO:0000155	Os06g0654300
GO:0000155	Os07g0259100
GO:0000155	Os10g0362300
GO:0000155	Os11g0102200
GO:0000155	Os12g0101800
GO:0000156	Os01g0904700
GO:0000156	Os01g0923700
GO:0000156	Os01g0952500
GO:0000156	Os02g0182100
GO:0000156	Os02g0557800
GO:0000156	Os02g0618200
GO:0000156	Os02g0631700
GO:0000156	Os02g0738400
GO:0000156	Os02g0796500
GO:0000156	Os02g0820900
GO:0000156	Os02g0830200
GO:0000156	Os03g0224200
GO:0000156	Os03g0284100
GO:0000156	Os03g0717700
GO:0000156	Os03g0742300
GO:0000156	Os04g0169100
GO:0000156	Os04g0212450
GO:0000156	Os04g0348600
GO:0000156	Os04g0348800
GO:0000156	Os04g0442300
GO:0000156	Os04g0524300
GO:0000156	Os04g0673300
GO:0000156	Os05g0395600
GO:0000156	Os06g0183100
GO:0000156	Os06g0183200
GO:0000156	Os06g0647200
GO:0000156	Os06g0654300
GO:0000156	Os07g0259100
GO:0000156	Os07g0449700
GO:0000156	Os07g0695100
GO:0000156	Os08g0358800
GO:0000156	Os08g0376700
GO:0000156	Os08g0377200
GO:0000156	Os08g0458600
GO:0000156	Os09g0532400
GO:0000156	Os10g0362300
GO:0000156	Os10g0463400
GO:0000156	Os11g0143300
GO:0000156	Os11g0157600
GO:0000156	Os12g0139400
GO:0000166	Os01g0101600
GO:0000166	Os01g0106300
GO:0000166	Os01g0106900
GO:0000166	Os01g0120300
GO:0000166	Os01g0120400
GO:0000166	Os01g0121700
GO:0000166	Os01g0127500
GO:0000166	Os01g0141100
GO:0000166	Os01g0141300
GO:0000166	Os01g0151700
GO:0000166	Os01g0153400
GO:0000166	Os01g0155600
GO:0000166	Os01g0158500
GO:0000166	Os01g0164400
GO:0000166	Os01g0173900
GO:0000166	Os01g0185200
GO:0000166	Os01g0188400
GO:0000166	Os01g0209400
GO:0000166	Os01g0218700
GO:0000166	Os01g0226400
GO:0000166	Os01g0227100
GO:0000166	Os01g0228600
GO:0000166	Os01g0237366
GO:0000166	Os01g0237750
GO:0000166	Os01g0256800
GO:0000166	Os01g0261500
GO:0000166	Os01g0265800
GO:0000166	Os01g0271200
GO:0000166	Os01g0271500
GO:0000166	Os01g0277600
GO:0000166	Os01g0283600
GO:0000166	Os01g0283700
GO:0000166	Os01g0286600
