"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"1","29141328","psbA","-","PsbA","protein-coding","-","-"
"2","29141329","trnK-UUU","-","tRNA","tRNA","-","-"
"3","29141330","matK","-","maturase K","protein-coding","-","-"
"4","29141331","rps16","-","ribosomal protein S16","protein-coding","-","-"
"5","29141332","trnQ-UUG","-","tRNA","tRNA","-","-"
"6","29141333","psbK","-","PsbK","protein-coding","-","-"
"7","29141334","psbI","-","PsbI","protein-coding","-","-"
"8","29141335","trnS-GCU","-","tRNA","tRNA","-","-"
"9","29141336","psbD","-","PsbD","protein-coding","-","-"
"10","29141337","psbC","-","PsbC","protein-coding","-","-"
"11","29141338","trnS-UGA","-","tRNA","tRNA","-","-"
"12","29141339","psbZ","-","PsbZ","protein-coding","-","-"
"13","29141340","trnG-GCC","-","tRNA","tRNA","-","-"
"14","29141341","trnfM-CAU","-","tRNA","tRNA","-","-"
"15","29141342","trnT-GGU","-","tRNA","tRNA","-","-"
"16","29141343","trnM-CAU","-","tRNA","tRNA","-","-"
"17","29141344","trnT-GGU","-","tRNA","tRNA","-","-"
"18","29141345","trnE-UUC","-","tRNA","tRNA","-","-"
"19","29141346","trnY-GUA","-","tRNA","tRNA","-","-"
"20","29141347","trnD-GUC","-","tRNA","tRNA","-","-"
"21","29141348","psbM","-","PsbM","protein-coding","-","-"
"22","29141349","petN","-","PetN","protein-coding","-","-"
"23","29141350","trnC-GCA","-","tRNA","tRNA","-","-"
"24","29141351","rpoB","-","RpoB","protein-coding","-","-"
"25","29141352","rpoC1","-","RpoC1","protein-coding","-","-"
"26","29141353","rpoC2","-","RpoC2","protein-coding","-","-"
"27","29141354","rps2","-","ribosomal protein S2","protein-coding","-","-"
"28","29141355","atpI","-","AtpI","protein-coding","-","-"
"29","29141356","atpH","-","AtpH","protein-coding","-","-"
"30","29141357","atpF","-","AtpF","protein-coding","-","-"
"31","29141358","atpA","-","AtpA","protein-coding","-","-"
"32","29141359","trnR-UCU","-","tRNA","tRNA","-","-"
"33","29141360","trnfM-CAU","-","tRNA","tRNA","-","-"
"34","29141361","rps14","-","ribosomal protein S14","protein-coding","-","-"
"35","29141362","psaB","-","PsaB","protein-coding","-","-"
"36","29141363","psaA","-","PsaA","protein-coding","-","-"
"37","29141364","ycf3","-","Ycf3","protein-coding","-","-"
"38","29141365","trnS-GGA","-","tRNA","tRNA","-","-"
"39","29141366","rps4","-","ribosomal protein S4","protein-coding","-","-"
"40","29141367","trnT-UGU","-","tRNA","tRNA","-","-"
"41","29141368","trnL-UAA","-","tRNA","tRNA","-","-"
"42","29141369","trnF-GAA","-","tRNA","tRNA","-","-"
"43","29141370","ndhJ","-","NdhJ","protein-coding","-","-"
"44","29141371","ndhK","-","NdhK","protein-coding","-","-"
"45","29141372","ndhC","-","NdhC","protein-coding","-","-"
"46","29141373","trnV-UAC","-","tRNA","tRNA","-","-"
"47","29141374","trnM-CAU","-","tRNA","tRNA","-","-"
"48","29141375","trnT-GGU","-","tRNA","tRNA","-","-"
"49","29141376","atpE","-","AtpE","protein-coding","-","-"
"50","29141377","atpB","-","AtpB","protein-coding","-","-"
