ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
dosa00940	Phenylpropanoid biosynthesis	42/520	128/3901	6.3438040279615e-09	7.16849855159649e-07	6.21025025895178e-07	Os01t0283600-00/Os01t0293900-00/Os01t0294700-01/Os01t0787000-01/Os01t0901600-01/Os03t0339300-01/Os03t0368900-01/Os03t0434800-00/Os02t0177600-01/Os02t0187800-01/Os02t0467000-00/Os02t0467600-01/Os02t0626100-01/Os02t0626400-01/Os02t0627100-01/Os02t0812000-01/Os04t0229100-01/Os04t0465100-01/Os04t0518100-01/Os04t0518400-01/Os06t0165800-01/Os06t0521500-01/Os06t0547100-00/Os06t0656500-01/Os05t0135500-01/Os05t0320700-02/Os05t0427400-00/Os05t0494000-01/Os05t0499400-01/Os07t0104100-01/Os07t0677200-01/Os07t0677600-01/Os08t0143300-00/Os08t0157500-01/Os08t0245200-01/Os08t0441500-01/Os08t0448000-01/Os10t0109600-01/Os10t0512400-01/Os09t0127300-01/Os09t0419200-01/Os09t0471100-01	42
dosa00941	Flavonoid biosynthesis	14/520	25/3901	5.16010341003625e-07	2.91545842667048e-05	2.52573482701774e-05	Os03t0367101-00/Os03t0819600-01/Os02t0467000-00/Os02t0467600-01/Os02t0767300-01/Os04t0101400-01/Os04t0630100-01/Os04t0630900-01/Os06t0165800-01/Os05t0320700-02/Os05t0494000-01/Os11t0116300-01/Os12t0115700-01/Os10t0317900-01	14
dosa04626	Plant-pathogen interaction	39/520	158/3901	6.0509692058194e-05	0.00227919840085864	0.00197452679347791	Os01t0360200-01/Os01t0510100-01/Os01t0604500-01/Os01t0826400-01/Os01t0949300-01/Os01t0949500-01/Os01t0955100-01/Os03t0285800-01/Os03t0331700-02/Os03t0788500-01/Os02t0126400-01/Os02t0731900-01/Os04t0219600-01/Os04t0311400-01/Os04t0584600-01/Os06t0262800-01/Os06t0598800-01/Os06t0609600-02/Os05t0135800-01/Os05t0223000-01/Os05t0380900-01/Os05t0474800-01/Os05t0489900-01/Os05t0574600-01/Os05t0577500-01/Os05t0585500-01/Os07t0515100-01/Os07t0568600-01/Os07t0681400-01/Os11t0141400-01/Os11t0226933-01/Os11t0227200-01/Os11t0229300-00/Os08t0487800-01/Os08t0500700-01/Os08t0526400-01/Os08t0540400-01/Os12t0138050-00/Os12t0246700-01	39
dosa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	16/520	45/3901	0.000122374521891609	0.00345708024343796	0.00299495540418938	Os01t0764400-01/Os01t0871300-01/Os03t0254800-01/Os03t0264400-01/Os03t0389700-01/Os03t0718000-01/Os02t0302700-01/Os02t0749300-01/Os04t0406600-01/Os04t0463500-01/Os06t0133900-01/Os06t0542200-01/Os07t0622200-01/Os11t0644800-00/Os08t0441600-01/Os09t0539100-01	16
dosa00360	Phenylalanine metabolism	13/520	33/3901	0.000161883094993709	0.00365855794685781	0.00316950059671893	Os01t0871300-01/Os02t0302700-01/Os02t0626100-01/Os02t0626400-01/Os02t0627100-01/Os04t0117900-01/Os04t0118100-01/Os04t0476100-01/Os04t0518100-01/Os04t0518400-01/Os05t0427400-00/Os11t0644800-00/Os08t0140300-01	13
dosa00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	6/520	10/3901	0.000712165965123999	0.0134124590098353	0.0116195499572863	Os02t0467000-00/Os02t0467600-01/Os06t0165800-01/Os05t0320700-02/Os05t0494000-01/Os07t0526400-01	6
dosa00480	Glutathione metabolism	23/520	88/3901	0.000859645620822709	0.0138771364504237	0.012022111689701	Os01t0151500-00/Os01t0369700-01/Os01t0371200-01/Os01t0764000-01/Os01t0949750-00/Os03t0283100-01/Os03t0283200-00/Os03t0709000-01/Os03t0785900-01/Os04t0485300-01/Os07t0408700-02/Os07t0468100-01/Os12t0178200-01/Os12t0263000-01/Os10t0525400-01/Os10t0527400-01/Os10t0527800-01/Os10t0528900-01/Os10t0529300-01/Os10t0530400-01/Os10t0531400-01/Os09t0467200-01/Os09t0543400-00	23
dosa00260	Glycine, serine and threonine metabolism	17/520	60/3901	0.00154866872882747	0.0218749457946881	0.0189508147080204	Os03t0171900-01/Os03t0338000-01/Os03t0738400-01/Os02t0101500-01/Os04t0106400-01/Os04t0107300-01/Os04t0476100-01/Os04t0623800-01/Os04t0650800-01/Os06t0611900-01/Os05t0549700-01/Os07t0108300-01/Os11t0455800-01/Os11t0629500-01/Os08t0447000-01/Os12t0409000-01/Os10t0516100-01	17
dosa00130	Ubiquinone and other terpenoid-quinone biosynthesis	13/520	41/3901	0.00180119870746049	0.0226150504381151	0.0195919859407983	Os01t0901600-01/Os02t0177600-01/Os02t0302700-01/Os02t0467000-00/Os02t0467600-01/Os02t0701600-01/Os06t0656500-01/Os05t0320700-02/Os11t0644800-00/Os08t0143300-00/Os08t0245200-01/Os08t0448000-01/Os09t0361500-01	13
dosa00270	Cysteine and methionine metabolism	24/520	100/3901	0.00239740423145514	0.0270906678154431	0.023469325634245	Os01t0293000-01/Os01t0323600-01/Os03t0171900-01/Os03t0196600-01/Os03t0221200-01/Os03t0338000-01/Os03t0727600-01/Os03t0773800-01/Os02t0167100-01/Os02t0302700-01/Os02t0771600-01/Os04t0578000-01/Os04t0650800-01/Os04t0669900-00/Os06t0175800-01/Os07t0408700-02/Os07t0689600-01/Os11t0455500-01/Os11t0644800-00/Os08t0447000-01/Os12t0263000-01/Os12t0623900-01/Os12t0624000-01/Os09t0424300-01	24
dosa00195	Photosynthesis	13/520	43/3901	0.00290356121970241	0.0298274925296702	0.02584030559161	Os01t0501800-01/Os01t0938100-01/Os03t0333400-01/Os03t0659200-01/Os03t0685000-01/Os04t0412200-01/Os06t0101600-01/Os07t0141400-01/Os07t0513000-01/Os07t0567400-01/Os08t0119800-01/Os12t0189400-01/Os09t0481200-01	13
